Company,Last day Open,Begin day Close,Last day Close,Average Price,Average Performance,Volume,Average Volume,Quarter High,Quarter Low,Performance 2023Q1,Performance 2023Q2,Relative 2023Q2,zip,sector,fullTimeEmployees,city,phone,state,country,industry,profitMargins,revenueGrowth,recommendationKey,totalCashPerShare,exchange
DHI,94.00688728304068,89.32787322998047,96.47581481933594,94.08341623121693,0.09955487973336118,5522800,2960335.4838709678,102.58717899531489,87.94321130654856,0.7464421220388366,22.4520968721645,14.029451823138771,76011,Consumer Cyclical,,Arlington,817 390 8200,TX,United States,Residential Construction,0.12925,-0.048,buy,13.191,NYQ
DIS,98.11610354263496,88.27373504638672,99.34639739990234,100.02987326345136,0.17717719366956522,8920000,10942722.58064516,117.25513930557118,87.142657124681,-4.141826434294861,-10.33786896111808,-18.760514010143808,91521,Communication Services,173250.0,Burbank,818 560 1000,CA,United States,Entertainment,0.053049996,0.037,buy,3.279,NYQ
DIT,176.05999755859375,179.4600067138672,167.0,171.0733861615581,-0.006171619195933039,1500,795.1612903225806,185.3000030517578,154.0399932861328,-3.582252342074957,16.977999594981014,8.555354545955286,68122,Consumer Defensive,,Omaha,402 331 3727,NE,United States,Food Distribution,0.00202,0.092,none,1.042,ASE
DJCO,284.9599914550781,264.7699890136719,284.9599914550781,289.76935405115927,0.11165810192084251,1100,1993.5483870967741,315.2300109863281,258.0,-5.522464386519004,-1.4360990855898446,-9.858744134615574,90012,Technology,350.0,Los Angeles,213 229 5300,CA,United States,Software - Application,0.62702,-0.012,none,243.216,NCM
DLAPQ,11.199999809265137,11.010000228881836,11.0,12.07155490690662,0.04919605037556913,18350,20649.75806451613,14.510000228881836,10.566499710083008,3.8279206292433594,-11.409840102587212,-19.832485151612943,30097,Consumer Cyclical,6000.0,Duluth,864 232 5200,GA,United States,Apparel Manufacturing,-0.18923001,-0.285,buy,0.1,OEM
DLB,82.6715359919664,69.29657745361328,83.5815200805664,78.86194856705204,0.30002465979189114,458500,379554.8387096774,85.88677790853757,68.52607277690853,8.42899094775638,3.489233269446429,-4.933411779579299,94103-1410,Industrials,2246.0,San Francisco,415 558 0200,CA,United States,Specialty Business Services,0.16867,-0.032,buy,9.114,NYQ
DLHC,11.25,11.359999656677246,11.470000267028809,11.96451610134494,0.01708151540972355,24400,40609.67741935484,13.75,10.510000228881836,1.167594524502389,-11.190333781486864,-19.6129788305126,30305,Industrials,3200.0,Atlanta,770 554 3545,GA,United States,Specialty Business Services,0.00617,-0.015,buy,0.03,NCM
DOCS,31.520000457763672,32.849998474121094,32.380001068115234,33.17483877366589,-0.02151566568293554,877100,1705750.0,40.119998931884766,28.13999938964844,-2.380064899232822,-2.260880488067668,-10.683525537093397,94107,Healthcare,827.0,San Francisco,650 549 4330,CA,United States,Health Information Services,0.33686,0.204,buy,4.315,NYQ
DRFS,0.2215999960899353,0.4199999868869781,0.2325000017881393,0.35791371041728604,0.12679179857953052,11693,12512.983870967742,0.449999988079071,0.1099999994039535,-26.31642381251888,-3.358772649814968,-11.781417698840697,107-0062,Industrials,1.0,Tokyo,81 90 6002 4978,,Japan,Pollution & Treatment Controls,,7.968,none,,OQB
DRI,145.61414483522782,130.6553192138672,146.04713439941406,139.1918408793788,0.177458526088103,1367400,1278933.8709677418,146.7436634704585,128.76026263033194,1.689557352423157,11.824557758831183,3.4019127098054547,32837,Consumer Cyclical,191105.0,Orlando,407 245 4000,FL,United States,Restaurants,0.091120005,0.01,buy,1.638,NYQ
DSNY,0.6399999856948853,0.5299999713897705,0.6399999856948853,0.6454193553616924,0.48407527929560534,1800,4993.548387096775,0.800000011920929,0.5199999809265137,12.188458237122571,31.46240454831461,23.03975949928888,V6G 2V3,Technology,35.0,Vancouver,604 609 7736,BC,Canada,Software - Application,0.051810004,0.082,none,0.148,OQB
DT,40.59999847412109,38.34999847412109,42.29999923706055,40.487257803640055,0.13462259622339492,2548000,2764582.2580645164,47.999000549316406,35.38999938964844,7.396413742085045,26.55117175000548,18.12852670097975,02451,Technology,4700.0,Waltham,781 530 1000,MA,United States,Software - Application,0.10444,0.189,buy,3.367,NYQ
DTGI,0.0728000029921531,0.1072999984025955,0.0738999992609024,0.08579516146452193,-0.35168111939623337,159800,159253.2258064516,0.1099999994039535,0.0593999996781349,-24.0792032221935,-12.529867214040523,-20.952512263066254,78230,Communication Services,78.0,San Antonio,210 614 7240,TX,United States,Telecom Services,-0.44319,-0.052,buy,0.005,OQB
DTII,0.0900000035762786,0.2000000029802322,0.0949999988079071,0.1695161292389516,0.1361317452945564,4600,20882.25806451613,0.7549999952316284,0.0799999982118606,-56.03585504350714,-74.33468491383712,-82.75732996286285,92014,Industrials,,Del Mar,800-520-9485,CA,United States,Security & Protection Services,,,none,,PNK
DTSS,17.549999237060547,22.5,18.299999237060547,19.395725711699455,-0.3355691343269297,11960,1413.0,22.649999618530277,16.049999237060547,-18.875444442808607,-23.968307260840906,-32.390952309866634,100176,Technology,36.0,Beijing,86 10 5614 5240,,China,Software - Infrastructure,-0.47452,0.274,buy,0.035,NCM
DWAY,0.0379999987781047,0.1299999952316284,0.0379999987781047,0.045221773276646254,1.4514976623954818,0,10668.451612903225,0.1299999952316284,0.0149999996647238,-42.13393447703864,-14.501284813844048,-22.923929862869777,19104,Industrials,,Philadelphia,856 577 2763,PA,United States,Rental & Leasing Services,,0.415,none,,PNK
DXC,25.209999084472656,27.670000076293945,25.559999465942383,27.256290189681515,-0.13755381619942508,1477700,1669353.2258064516,30.270000457763672,22.459999084472656,-11.280421679101153,-3.602796377286029,-12.025441426311758,20147,Technology,130000.0,Ashburn,703-972-9700,VA,United States,Information Technology Services,0.0018099999,-0.057,hold,6.881,NYQ
DYNT,1.553699970245361,1.9605000019073489,1.4600000381469729,2.009277420659219,-0.39020113310325105,6463,13328.677419354839,2.7300000190734863,1.399999976158142,-20.21488883883241,-57.83657448569461,-66.25921953472034,55121,Healthcare,111.0,Eagan,(801) 568-7000,MN,United States,Medical Devices,-0.08292,-0.126,buy,0.082,OQB
EA,118.36822225953377,121.55098724365234,119.4291534423828,116.31507024457377,-0.034840416373566815,2347300,2542622.580645161,129.2419788784634,107.61017416659836,-9.186199502738058,8.706040677136421,0.2833956281106928,94065,Communication Services,13700.0,Redwood City,650 628 1500,CA,United States,Electronic Gaming & Multimedia,0.14118,0.058,buy,9.772,NMS
EACO,33.0,28.0,33.0,29.720161253406154,0.24156040360167258,300,179.03225806451613,33.0,26.530000686645508,11.429351880764411,17.104862488813104,8.682217439787376,92807,Technology,584.0,Anaheim,714 876 2490,CA,United States,Electronics & Computer Distribution,0.042,0.198,none,2.086,PNK
EAT,37.54999923706055,32.41999816894531,38.0,37.85822597626717,0.2574035803945829,1276600,1066261.2903225806,42.119998931884766,31.82999992370605,-0.538543732639447,-3.4556113118418343,-11.878256360867564,75019,Consumer Cyclical,68852.0,Dallas,972 980 9917,TX,United States,Restaurants,0.04109,0.125,hold,0.365,NYQ
EBET,12.0,16.860000610351562,12.329999923706056,16.795161308780795,-0.12364997930632567,2817,95018.58064516129,79.80000305175781,9.899999618530272,-32.08790552679401,-67.75697041101616,-76.17961546004189,89169,Consumer Cyclical,28.0,Las Vegas,888 411 2726,NV,United States,Gambling,,-0.696,buy,0.042,OEM
EBF,20.920000076293945,22.76000022888184,21.09000015258789,21.370161241100682,-0.13768644258987678,153500,126317.74193548386,22.76000022888184,20.450000762939453,-0.0989943626121014,-3.993892032653975,-12.416537081679705,76065,Industrials,1941.0,Midlothian,972 775 9801,TX,United States,Business Equipment & Supplies,0.10155,-0.072,strong_buy,4.716,NYQ
ECIA,0.4199999868869781,0.5,0.4199999868869781,0.42725806082448653,-0.15268073162033471,0,5112.903225806452,0.5,0.3799999952316284,-7.572703730469481,-8.401196861048625,-16.823841910074353,80301,Healthcare,22.0,Boulder,303 444 2600,CO,United States,Medical Instruments & Supplies,-0.08064,-0.014,none,0.023,PNK
ECOX,0.0001999999949475,0.0003000000142492,0.0001999999949475,0.00028903225991651447,1.4538603958610035,81680642,13228379.370967742,0.0005000000237487,9.999999747378752e-05,-36.49885401910658,-38.95847627012355,-47.38112131914927,91406,Industrials,,Van Nuys,800 922 4356,CA,United States,Specialty Business Services,,,none,,PNK
EDSA,6.440000057220459,14.0,6.369999885559082,10.434516145337012,-0.9709566472109438,13643,29922.40322580645,19.670000076293945,6.019999980926514,-37.99264373971641,-43.29696864000985,-51.71961368903558,L3R 5H6,Healthcare,16.0,Markham,289 800 9600,ON,Canada,Biotechnology,,,buy,0.628,NCM
EDUC,2.9200000762939453,3.25,2.940000057220459,3.424032276676547,-0.0648318096451415,5500,10112.90322580645,4.0,2.809999942779541,-8.840329829268534,-65.17667344898457,-73.5993184980103,74146,Communication Services,101.0,Tulsa,918 622 4522,OK,United States,Publishing,-0.06424,-0.386,strong_buy,0.088,NGM
EDXC,0.0410000011324882,0.0489999987185001,0.0410000011324882,0.045781451908330724,-0.054326858263421964,5000,171455.6935483871,0.0549999997019767,0.0089999996125698,-0.992173825124121,-10.852100740780047,-19.274745789805777,85331,Healthcare,,Cave Creek,480 595 6900,AZ,United States,Drug Manufacturers - Specialty & Generic,1.48629,-0.716,hold,,PNK
EGAN,7.599999904632568,9.18000030517578,7.590000152587891,8.600806420849215,-0.300692845046881,36100,45916.12903225807,10.350000381469728,7.070000171661377,-21.760755267196387,-14.58586848381646,-23.008513532842187,94089,Technology,539.0,Sunnyvale,408 636 4500,CA,United States,Software - Application,0.08383001,-0.088,buy,2.455,NCM
EGHT,4.0,4.340000152587891,4.170000076293945,5.000645179902354,0.0048779774514185505,1246800,1687577.4193548388,6.489999771118164,3.880000114440918,1.9997141066183064,-22.079646618208383,-30.50229166723411,95008,Technology,1948.0,Campbell,408 727 1885,CA,United States,Software - Application,-0.09679,0.174,hold,1.313,NMS
EL,240.9075680427994,245.73016357421875,239.17051696777344,246.12305056664252,-0.03108965076327242,1893200,1431024.1935483871,274.4830244041608,224.458898028036,-8.929828835824413,-25.164840783008277,-33.587485832034005,10153,Consumer Defensive,44020.0,New York,212 572 4200,NY,United States,Household & Personal Products,0.01314,-0.045,hold,6.546,NYQ
ELF,80.75,55.34000015258789,82.3499984741211,67.40870961835307,0.6392890779838379,1399800,972445.1612903225,83.94000244140625,48.09999847412109,37.14260250203829,59.26755493826884,50.84490988924311,94607,Consumer Defensive,475.0,Oakland,510 778 7787,CA,United States,Household & Personal Products,0.088690005,0.397,buy,1.718,NYQ
ELMD,10.539999961853027,10.1899995803833,10.399999618530272,11.33403225867979,0.09284640472227165,9500,15020.967741935483,13.84000015258789,10.0,5.994679794167543,2.0074364595023755,-6.415208589523353,56071,Healthcare,174.0,New Prague,952 758 9299,MN,United States,Medical Devices,0.094119996,0.09,buy,1.861,ASE
ELRE,1.0700000524520874,1.0700000524520874,1.0700000524520874,1.0700000524520874,0.0,0,6.451612903225806,1.0700000524520874,1.0700000524520874,0.0,-49.01869438315936,-57.44133943218509,518000,Communication Services,8.0,Shenzhen,86 755 8316 0998,,China,Internet Content & Information,,,none,,PNK
ELTP,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.03354838634690927,0.5555555555555587,131800,324487.0967741936,0.0399999991059303,0.0299999993294477,-6.354515050167239,2.115482305130666,-6.307162743895063,07647,Healthcare,64.0,Northvale,201 750 2646,NJ,United States,Drug Manufacturers - Specialty & Generic,0.29471,1.094,none,0.008,OQB
EMAX,1.2899999618530271,0.5609999895095825,1.2899999618530271,0.8587741851806641,2.0875519612761764,0,84.25806451612904,1.4700000286102295,0.5609999895095825,92.048362368013,48.58775080239254,40.16510575336682,10111,Financial Services,1.0,New York,929 923 2740,NY,United States,Shell Companies,-0.064569995,0.131,none,,PNK
EMBC,28.15999984741211,25.309999465942383,28.1200008392334,28.376451646128007,0.21868553210257502,656700,833354.8387096775,33.880001068115234,22.299999237060547,21.1160106939733,-10.837023169393834,-19.259668218419563,07054,Healthcare,2200.0,Parsippany,862 401 0000,NJ,United States,Medical Instruments & Supplies,0.06229,-0.048,hold,4.768,NMS
EMKR,11.399999618530272,9.5,11.5,12.19999994770173,0.43062293508706945,14300,38597.096774193546,14.899999618530272,9.0,5.390232346760556,-41.22016532657739,-49.64281037560312,91803,Technology,350.0,Alhambra,626 293 3400,CA,United States,Electronic Components,-0.76641,-0.235,hold,0.935,NCM
EMR,83.37343152287022,92.49893188476562,84.37069702148438,84.3505006605579,-0.1672957010986938,2674000,3633490.3225806453,95.90592996137104,76.51843399732131,-9.281500776755388,-1.0774115755414706,-9.5000566245672,63136,Industrials,67000.0,Saint Louis,(314) 553 2000,MO,United States,Specialty Industrial Machinery,0.101160005,0.129,buy,6.273,NYQ
ENMI,0.0051000001840293,0.0052999998442828,0.0051000001840293,0.005280645166133152,2.269487710623092,0,5755.6612903225805,0.0104999998584389,0.0035000001080334,-6.488546003780342,-36.41756881559107,-44.8402138646168,,Healthcare,1.0,Kowloon,852 2621 3288,,Hong Kong,Medical Distribution,,,none,,PNK
ENR,34.400001525878906,34.16999816894531,34.70000076293945,35.40919346963206,0.013604674524140633,455100,524716.1290322581,37.88999938964844,32.084999084472656,-6.422804507386408,-6.273623703896749,-14.696268752922478,63141,Industrials,5080.0,Saint Louis,314 985 2000,MO,United States,Electrical Equipment & Parts,0.0035299999,0.003,hold,2.043,NYQ
ENRT,0.0366999991238117,0.0359999984502792,0.0449000000953674,0.04588951603058841,0.9632231882168166,18323,56406.6935483871,0.0573999993503093,0.0271000005304813,14.986666112272488,-37.776766997994734,-46.19941204702046,V1Y 4R2,Basic Materials,,Kelowna,250 870 2219,BC,Canada,Other Industrial Metals & Mining,,,buy,0.002,OQB
ENS,85.47101618760534,71.58985137939453,85.7275619506836,82.86806205011183,0.29711177397168165,238600,197498.38709677418,92.86693360503982,70.6643295070634,8.02032063321449,23.940220371052877,15.517575322027144,19605,Industrials,10797.0,Reading,610 208 1991,PA,United States,Electrical Equipment & Parts,0.08249,-0.019,hold,10.244,NYQ
ENTA,39.4900016784668,45.75,40.43999862670898,47.75129016753166,-0.22410786493667142,143700,173580.64516129033,62.060001373291016,38.15999984741211,-12.970225460319252,-50.28888858548781,-58.71153363451353,02472,Healthcare,145.0,Watertown,617 607 0800,MA,United States,Biotechnology,-1.6026801,-0.049,buy,10.859,NMS
ENZ,2.359999895095825,1.3799999952316284,2.430000066757202,1.486935486716609,1.4168376305904506,209600,788708.0645161291,2.5199999809265137,1.0,14.121158623397678,38.39613149714879,29.973486448123055,11735,Healthcare,125.0,Farmingdale,631 755 5500,NY,United States,Diagnostics & Research,-0.81731004,,none,1.002,NYQ
EPAC,25.020000457763672,25.32999992370605,25.5,26.383064516129032,-0.01233971831222742,464600,341996.77419354836,28.56999969482422,23.21999931335449,7.140054215759058,2.68301120971917,-5.739633839306558,53051,Industrials,2000.0,Menomonee Falls,(262) 293-1500,WI,United States,Specialty Industrial Machinery,0.14546,-0.012,buy,3.083,NYQ
EPC,42.380001068115234,38.45000076293945,42.41999816894531,41.90596777392972,0.16471248160803176,461500,351829.03225806454,45.310001373291016,38.18000030517578,2.536016680801798,0.4826127844910232,-7.940032264534706,06484,Consumer Defensive,6700.0,Shelton,203 944 5500,CT,United States,Household & Personal Products,0.04375,-0.031,hold,4.25,NYQ
EPIX,2.869999885559082,2.559999942779541,2.970000028610229,2.9377419371758737,0.30717876189542764,58800,218924.1935483871,3.630000114440918,2.450000047683716,9.359503217878316,3.9325614091413943,-4.490083639884334,V5Z 1K5,Healthcare,50.0,Vancouver,778 331 0962,BC,Canada,Biotechnology,,,hold,2.946,NCM
EPM,6.340000152587891,6.96999979019165,6.309999942779541,6.409516142260644,-0.15222379581605125,168100,265506.4516129032,7.670000076293945,5.389999866485596,-9.129345041036718,26.957104443628367,18.53445939460264,77079,Energy,11.0,Houston,713 935 0122,TX,United States,Oil & Gas E&P,0.047509998,0.168,buy,0.197,ASE
ESE,93.63743457018668,86.51974487304688,95.09195709228516,92.39838532478579,0.13666311849952617,156000,93117.74193548386,101.05250761149632,85.1062802281873,-1.4566798140310795,5.928682669909567,-2.4939623791161614,63124-1186,Technology,3131.0,Saint Louis,314 213 7200,MO,United States,Scientific & Technical Instruments,0.099530004,0.088,buy,2.163,NYQ
ESMC,0.0700000002980232,0.0599999986588954,0.0700000002980232,0.06741935423304954,0.5575396916522956,0,5840.322580645161,0.0799999982118606,0.050000000745058,18.769884558629947,237.4124354314384,228.98979038241268,19087,Healthcare,40.0,Wayne,610 688 6830,PA,United States,Medical Devices,-0.01045,0.107,none,0.028,OQB
ESOA,2.25,2.619999885559082,2.289999961853028,2.4462903276566537,-0.24305152577220882,17300,39417.74193548387,2.869999885559082,2.130000114440918,-12.232850655502416,1.9069058723933745,-6.515739176632354,25701,Industrials,1282.0,Huntington,304 522 3868,WV,United States,Engineering & Construction,0.06865,0.005,buy,0.877,NCM
ESP,20.200000762939453,14.56999969482422,20.25,17.756774117869714,0.5645828987832292,3900,8895.161290322581,20.59000015258789,14.170000076293944,27.883385458225167,-1.918988718690671,-10.3416337677164,12866-4755,Industrials,148.0,Saratoga Springs,518 584 4100,NY,United States,Electrical Equipment & Parts,0.15012,0.392,hold,9.171,ASE
ESSA,15.640000343322754,20.75,15.720000267028809,19.21854846708236,-0.46443147250264105,12900,12520.967741935483,21.1299991607666,15.100000381469728,-16.93903549629554,-18.76809761108121,-27.190742660106935,18360-0160,Financial Services,232.0,Stroudsburg,570 421 0531,PA,United States,Banks - Regional,0.2547,-0.037,hold,5.966,NMS
ESTC,56.459999084472656,50.15999984741211,57.900001525878906,56.98467734552199,0.2415164573440544,1163700,1190212.9032258065,67.05999755859375,46.18000030517578,7.124064735478807,18.564563462597665,10.141918413571936,1016 ED,Technology,3299.0,Amsterdam,,,Netherlands,Software - Application,0.04618,0.183,buy,11.167,NYQ
ETD,27.0,26.399999618530277,27.459999084472656,28.412741814890214,0.046530996590079386,224000,290058.06451612903,31.780000686645508,26.1299991607666,-0.728979253220783,-2.654423491941046,-11.077068540966774,06811-5286,Consumer Cyclical,3347.0,Danbury,203 743 8000,CT,United States,"Furnishings, Fixtures & Appliances",0.09989,-0.058,buy,5.347,NYQ
ETST,0.0450000017881393,0.0397000014781951,0.0359999984502792,0.034583870802194806,1.634410641085703,77904,20746.387096774193,0.050000000745058,0.0001999999949475,21.622677767670343,19.67805864941278,11.255413600387053,33156,Healthcare,32.0,Miami,(305) 724-5684,FL,United States,Drug Manufacturers - Specialty & Generic,0.09477,37.961,none,0.005,PNK
ETWO,5.690000057220459,5.929999828338623,5.820000171661377,6.04225807036123,-0.04874109096075254,1873900,1637912.9032258065,7.204999923706055,5.059999942779541,-9.59187537924536,-12.17155176712561,-20.59419681615134,78759,Technology,3916.0,Austin,866 432 6736,TX,United States,Software - Application,-0.4969,-0.04,hold,0.46,NYQ
EVFM,2.875,8.75,2.75,5.266129032258065,-0.8803228436276742,15276,30207.24193548387,10.0,1.625,-61.79822710004221,-82.48521479621262,-90.90785984523836,92122,Healthcare,37.0,San Diego,858 550 1900,CA,United States,Biotechnology,3.4116,0.692,hold,,OQB
EVI,20.040000915527344,24.940000534057617,19.799999237060547,20.776612958600445,-0.21282012707485945,4700,24309.677419354837,25.059999465942383,17.0,-12.194069003588432,6.968556137382658,-1.4540889116430709,33137,Industrials,750.0,Miami,305 402 9300,FL,United States,Industrial Distribution,0.01597,-0.041,none,0.359,ASE
EVOH,22.040000915527344,22.040000915527344,22.040000915527344,22.040000915527344,0.0,0,0.0,22.040000915527344,22.040000915527344,0.0,0.0,-8.422645049025729,52000,Industrials,23.0,Kuala Lumpur,60 3 6243 3379,,Malaysia,Building Products & Equipment,,-0.459,none,0.004,PNK
EVTK,2.25,1.600000023841858,2.25,2.197580647084021,0.6770832984087372,0,15.838709677419354,2.25,1.600000023841858,7.784430829966338,2.4667930761670385,-5.9558519728586905,30318,Consumer Cyclical,1.0,Atlanta,404-549-4542,GA,United States,Personal Services,,,none,,PNK
EXDW,0.699999988079071,0.8199999928474426,0.699999988079071,0.9689112872846665,6.992559272771462,0,142.90322580645162,2.174999952316284,0.3000000119209289,-46.8135635484772,-50.23891467725711,-58.66155972628283,564-0063,Consumer Defensive,41.0,Suita,81 6 6339 4177,,Japan,Education & Training Services,-0.03221,0.194,none,0.597,PNK
EXP,144.61260469419028,133.64585876464844,145.69476318359375,140.5385975991526,0.13969653269686227,202300,270672.5806451613,150.76899893673036,128.58223557925814,-0.4566122514932852,20.876203352342383,12.453558303316656,75225,Basic Materials,2500.0,Dallas,214 432 2000,TX,United States,Building Materials,0.21324,0.002,buy,2.8,NYQ
EXTR,18.350000381469727,18.43000030517578,19.1200008392334,18.453709663883334,0.021602260278538392,2213800,1404650.0,20.07999992370605,14.630000114440918,-4.361330363200788,26.860720824127178,18.43807577510145,27560,Technology,2656.0,Morrisville,408-579-2800,NC,United States,Communication Equipment,-0.12111,-0.238,buy,1.207,NMS
EZPW,8.5,8.329999923706055,8.600000381469727,8.790483890041228,0.05066656332213202,661300,627925.8064516129,9.729999542236328,8.020000457763672,-3.645824449019356,-3.915400125232887,-12.338045174258616,78746,Financial Services,7500.0,Austin,512 314 3400,TX,United States,Credit Services,0.0687,0.1,strong_buy,3.983,NMS
FARM,3.869999885559082,4.610000133514404,3.859999895095825,4.515645184824543,-0.24352853751408243,50400,32469.354838709678,5.389999866485596,3.609999895095825,-17.352575362397733,-40.7199646644881,-49.14260971351384,76177,Consumer Defensive,1003.0,Fort Worth,682 549 6600,TX,United States,Packaged Foods,-0.02199,0.039,buy,0.154,NMS
FBDS,0.5701000094413757,1.5,0.5701000094413757,0.8029112911993458,0.07048748658886499,0,407.1774193548387,1.5,0.3600000143051147,-34.22228222662349,-35.84829985017058,-44.27094489919631,10004,Financial Services,1.0,New York,917 720 3366,NY,United States,Shell Companies,,,none,,PNK
FC,36.540000915527344,48.220001220703125,38.470001220703125,46.16225839430286,-0.4317750431389566,262300,76267.74193548386,49.77000045776367,35.560001373291016,-0.3683354846746905,-21.01154885741297,-29.434193906438697,84119-2331,Consumer Defensive,,Salt Lake City,801 817 1776,UT,United States,Education & Training Services,0.081470005,0.079,buy,3.751,NYQ
FCEL,2.819999933242798,2.6600000858306885,2.8499999046325684,3.2801612807858374,0.17266129327673907,10335000,10381720.967741935,4.360000133514404,2.5999999046325684,-6.204955679491999,-28.84184031143423,-37.26448536045996,06810,Industrials,591.0,Danbury,203 825 6000,CT,United States,Electrical Equipment & Parts,-1.3481799,-0.071,hold,0.481,NGM
FCELB,500.0,489.5,497.0,502.75250096474923,0.042234283739670336,100,70.96774193548387,520.0,489.0,-0.005648826192605,-20.61797738327263,-29.04062243229836,06810,Industrials,591.0,Danbury,203 825 6000,CT,United States,Electrical Equipment & Parts,-1.3481799,-0.071,none,0.481,PNK
FCIC,0.5400000214576721,0.6600000262260437,0.5400000214576721,0.9970967548508798,1.5513442063219613,0,925.8064516129032,1.6799999475479126,0.324999988079071,-31.57687712723984,-54.09516631117953,-62.51781136020526,91748,Financial Services,3.0,City Of Industry,917-624-8888,CA,United States,Shell Companies,-1.53,,none,0.008,PNK
FDS,407.43091791200976,399.4175109863281,409.2648010253906,410.0910866029801,0.034587343662347086,236700,241919.35483870967,430.2228917153907,372.586818842204,-1.8473569495559656,-2.8261162659074226,-11.248761314933152,06850,Financial Services,12398.0,Norwalk,203 810 1000,CT,United States,Financial Data & Stock Exchanges,0.24381,0.049,hold,12.967,NYQ
FDX,218.19732811010243,170.9667510986328,221.59165954589844,196.1133774788149,0.4236968974926192,1654500,2064258.064516129,221.95048413371572,168.3241729643272,13.456698426794478,14.630210264332716,6.207565215306987,38120,Industrials,306000.0,Memphis,901 818 7500,TN,United States,Integrated Freight & Logistics,0.0462,0.139,buy,,NYQ
FEAM,5.340000152587891,7.829999923706055,5.420000076293945,8.127258070053593,-0.5689687781582939,226200,194451.61290322582,12.039999961853027,5.03000020980835,-37.59148340716297,-52.16123378024506,-60.58387882927079,92344,Basic Materials,57.0,Hesperia,(442) 221-0225,CA,United States,Specialty Chemicals,,,hold,0.071,NMS
FEIM,6.849999904632568,7.079999923706055,6.889999866485596,6.293064540432345,-0.041841123308288264,4100,11396.774193548386,7.420000076293945,5.400000095367432,8.847524965212818,4.492163293023372,-3.930481756002357,11553,Technology,200.0,Mitchel Field,516 794 4500,NY,United States,Communication Equipment,0.103240006,,none,,NGM
FFIV,143.83999633789062,144.85000610351562,145.69000244140625,144.3430643389302,-0.00580205609367986,477800,516669.3548387097,159.9499969482422,135.49000549316406,-2.325981766159728,1.7076578134535547,-6.714987235572174,98104,Technology,,Seattle,206 272 5555,WA,United States,Software - Infrastructure,0.20126,0.056,hold,18.498,NMS
FGDL,26.5,24.604999542236328,26.36000061035156,25.32564523143153,0.13031554201487308,24000,40811.290322580644,27.045000076293945,24.09000015258789,0.680035259393528,2.59564238355054,-5.827002665475189,,,,,,,,,,,,,PCX
FGPR,7.980000019073486,7.150000095367432,8.350000381469727,7.812258105124196,0.33072039303205714,10300,4327.419354838709,8.569999694824219,6.8480000495910645,-1.2059660951229367,2.831839443172208,-5.590805605853521,64068,Energy,,Liberty,(816) 792-1600,MO,United States,Oil & Gas Refining & Marketing,0.05939,-0.004,underperform,23.362,PNK
FGPRB,151.0,158.0,151.0,144.6935547859438,-0.005859998890529609,0,113.2258064516129,158.0,100.0000991821289,0.3079287977598007,-8.005838702030736,-16.428483751056465,64068,Energy,,Liberty,(816) 792-1600,MO,United States,Oil & Gas Refining & Marketing,0.05939,-0.004,none,23.362,PNK
FHLD,0.0065999999642372,0.0006000000284984,0.0065999999642372,0.0019129032640897562,5.540520481787391,0,72.56451612903226,0.0065999999642372,0.0006000000284984,329.6338549560723,10365.500128734337,10357.07748368531,46777,Communication Services,,Ossian,260 490 9990,IN,United States,Broadcasting,,,none,,PNK
FICO,696.4000244140625,591.1900024414062,702.6900024414062,665.1820944509199,0.28906572396342894,364000,286548.3870967742,711.8499755859375,575.3900146484375,10.386808055453868,18.48663525829558,10.06399020926985,59715,Technology,3586.0,Bozeman,(406) 982-7276,MT,United States,Software - Application,0.29858,0.164,buy,6.188,NYQ
FIGI,2.049999952316284,2.049999952316284,2.049999952316284,2.049999952316284,0.0,0,0.0,2.049999952316284,2.049999952316284,0.0,0.0,-8.422645049025729,00901,Financial Services,,San Juan,855 422 4200,PR,United States,Asset Management,,0.534,none,0.025,PNK
FIZZ,48.95835672452959,43.44284439086914,49.20100402832031,43.482883145732266,0.20081218258315214,192100,149304.83870967742,49.90094119222892,39.28054201019538,12.268504524291036,4.776894026537926,-3.6457510224878025,33324,Consumer Defensive,1559.0,Fort Lauderdale,954 581 0922,FL,United States,Beverages - Non-Alcoholic,0.15363,0.016,hold,0.823,NMS
FKST,3.0,1.7000000476837158,3.0,2.102612914577607,17.962109788324273,0,38.45161290322581,3.0,0.2105000019073486,52.74665435978093,22.213216694938893,13.790571645913165,92688,Consumer Defensive,,Rancho Santa Margarita,949 525 3278,CA,United States,Household & Personal Products,,,none,,PNK
FKWL,4.900000095367432,4.309999942779541,4.980000019073486,4.974516153335571,0.24389487034818577,8500,13696.774193548386,5.440000057220459,4.170000076293945,0.5120055899301679,-27.527296217782567,-35.949941266808295,92123,Technology,69.0,San Diego,858 623 0000,CA,United States,Communication Equipment,-0.12872,-0.64,buy,3.179,NCM
FLCX,1.7100000381469729,0.6100999712944031,1.4850000143051147,0.9108064472675323,3.1375287409378507,11839,11513.612903225807,2.880000114440918,0.5099999904632568,37.20116688191512,243.15966634874107,234.7370212997153,85260,Industrials,,Scottsdale,855 535 6643,AZ,United States,Consulting Services,,,none,,OEM
